date,product_gtin,competition_price,price,freight_value,commission_product_olist,commission_freight_olist,orders,product_type,product_type_group,stock_max,stock_min,stock_avg,price_max,price_min,price_avg,offer_max,offer_min,offer_avg,weekday
2019-03-15,7908243600137,217.8,199.8,,,,0.0,Kit para cabelo,beleza_saude,22.0,22.0,22.0,217.8,217.8,217.8,199.8,199.8,199.8,4
2019-03-16,7908243600137,217.8,199.8,,,,0.0,Kit para cabelo,beleza_saude,22.0,22.0,22.0,217.8,217.8,217.8,199.8,199.8,199.8,5
2019-03-17,7908243600137,217.8,199.8,,,,0.0,Kit para cabelo,beleza_saude,22.0,22.0,22.0,217.8,217.8,217.8,199.8,199.8,199.8,6
2019-03-18,7908243600137,217.8,199.8,,,,0.0,Kit para cabelo,beleza_saude,22.0,22.0,22.0,217.8,217.8,217.8,199.8,199.8,199.8,0
2019-03-19,7908243600137,217.8,199.8,,,,0.0,Kit para cabelo,beleza_saude,22.0,22.0,22.0,217.8,217.8,217.8,199.8,199.8,199.8,1
2019-03-20,7908243600137,217.8,199.8,,,,0.0,Kit para cabelo,beleza_saude,22.0,22.0,22.0,217.8,217.8,217.8,199.8,199.8,199.8,2
2019-03-21,7908243600137,199.8,199.8,,,,0.0,Kit para cabelo,beleza_saude,22.0,22.0,22.0,217.8,217.8,217.8,199.8,199.8,199.8,3
2019-03-22,7908243600137,199.8,199.8,,,,0.0,Kit para cabelo,beleza_saude,22.0,22.0,22.0,217.8,217.8,217.8,199.8,199.8,199.8,4
2019-03-23,7908243600137,199.8,199.8,,,,0.0,Kit para cabelo,beleza_saude,22.0,22.0,22.0,217.8,217.8,217.8,199.8,199.8,199.8,5
2019-03-24,7908243600137,199.8,199.8,,,,0.0,Kit para cabelo,beleza_saude,22.0,22.0,22.0,217.8,217.8,217.8,199.8,199.8,199.8,6
2019-03-25,7908243600137,199.8,199.8,,,,0.0,Kit para cabelo,beleza_saude,22.0,22.0,22.0,217.8,217.8,217.8,199.8,199.8,199.8,0
2019-03-26,7908243600137,199.8,199.8,,,,0.0,Kit para cabelo,beleza_saude,22.0,22.0,22.0,217.8,217.8,217.8,199.8,199.8,199.8,1
2019-03-27,7908243600137,199.8,199.8,22.03,0.2,0.2,1.0,Kit para cabelo,beleza_saude,22.0,22.0,22.0,217.8,217.8,217.8,199.8,199.8,199.8,2
2019-03-28,7908243600137,199.8,199.8,27.14,0.2,0.2,1.0,Kit para cabelo,beleza_saude,21.0,20.0,20.5,217.8,217.8,217.79999999999998,199.8,199.8,199.79999999999998,3
2019-03-29,7908243600137,199.8,199.79999999999998,,,,0.0,Kit para cabelo,beleza_saude,21.0,20.0,20.5,217.8,217.8,217.79999999999998,199.8,199.8,199.79999999999998,4
