product_sku,gtin,canonical_sku,qty_orders,gmv,curve
PRO1AB8C517D6AE,7909389107160,PRO1AB8C517D6AE,3,1159.03,A
PRDZ3WDVF3KPAYJO,40232931314,PRD72SVY2I1TF1O0,6,815.9,A
PRDDD0LNYQ799FRO,7909389695100,PRDW4VH72QB0ZW0D,22,848.19,A
PRDKH0N6DNN856W7,7909463793142,PRDOULBUEHJMMH0P,7,831.45,A
PRD00IZ9G084MDHK,7898164712364,PRDIZ9AK3UKRYAA7,2,759.33,A
PRDMEPJOP47T1KWK,2960000518630,PRDF68PCSL5D242Q,1,902.05,A
PRDA9616P6FJJPB6,7897889805825,PRO1AD532BB45D9,10,1624.57,A
PRD7G01ELZNEZXTH,7433102914129,PRDCBNOIAEY5S11F,6,1238.63,A
PRDBQ7NXUW8MNVHR,7898576443573,PRDHW2HOY43HPE57,9,3020.13,A
PROC9D1A9629F68,7898943954053,PROC9D1A9629F68,6,928.96,A
PRD0ZDQEHQ3DIB79,7894171113064,PRD4X5IF7R4Y6F9B,1,968.31,A
PRDA4LM5DCTXGGQZ,7908166707234,PRDLB5POORZE6VRH,11,973.44,A
PRDAPY7IWXVGAYNY,7899951401355,PRDQDFGD11V01G12,8,1070.23,A
PRDIXG0OD4ZL4D1Z,7892049060281,PRDYPPL7NMCJFIOY,391,21904.94,A
PRD4U9F2W4VO7WNM,7894663504974,PRDFI6KEBL3ZIN9N,8,1024.68,A
PRDKXGHHOKM0X0LC,7908128617380,PRDJ7KMR9801Y17G,14,971.24,A
PRDSWFRECASG83TF,7898583353186,PRDKYTQL71KZ5VMZ,20,4629.36,A
PRDZIU5D3WIA143W,7908157707601,PRDVBHLPXPJDYA6B,10,852.4,A
PRD4TW3B4N0GMQ9X,639853916499,PRDRBFYG5JVECAZ3,28,1189.2,A
PRDRJEYSKB2HRELJ,606034863491,PRDK70KR4OEWV28N,6,1728.72,A
PRDYRB9U3BN6YF3X,4015110001362,PROA053D9C48247,8,1440.03,A
PRD3ITTQI2W25QQH,3605975050882,PROA56CB4299CF9,7,2911.81,A
PRD2D73ZS6P9C5P6,7898571143300,PRD969QO5TNCSKTK,45,1928.64,A
PRDVCCLX7LM98N23,7898605383559,PRDYVHA56JH6JGOV,28,766.18,A
PRD8CK2BKF9LDAJ6,1001001118649,PRD9HKY68HWMFU12,1,1364.47,A
PRDH162LRCPESJGO,7896873117425,PRDKQXOCVO4RDGF5,1,4886.61,A
PRD2WAVAJ6DONJ2B,7892311109465,PRD5U82SUXV1PDDH,43,1389.5,A
PRDXZFANNA4SZD3Y,7892331000148,PRD6D2K8LOR8MXT3,5,2521.4,A
PRDLY6RZ06E3J4VT,5601989993199,PRDNQX011K19YIWQ,34,1298.4,A
PRD6GJXJ6GFVLU4L,7898513878284,PRD99UT865W128KW,18,857.09,A
PRDPEYRW3ZNOK4XO,7898066740533,PRDZDXVCZGTD60HY,13,1948.17,A
PRDUXJ2Q13X976GN,7898508269387,PRDFSVNK2G9DQL3G,3,2636.84,A
PRDQXJ0411IMQXZV,70896842121,PRDZCHEDB1L100GU,36,1125.62,A
PRDLU9C6SH7RT8G0,7909389270130,PRDLU9C6SH7RT8G0,2,759.22,A
PRDEP452ZI5INN77,7898466608648,PRDV3HWKF4JTI9YD,11,1395.81,A
PRDG0KK5Y6EZUJYJ,7898908616255,PRD6T190PRE8EVZQ,32,839.19,A
PRD2MVUS74WVJVGR,7908013300601,ELE5LE1ZG9IW2SH9,23,2778.19,A
PRD8Z7V4FJF8IV4T,732094204209,PRDJDZ8SLD0OOCP6,1,1499.37,A
PRDTTIGJ3IIVUWQK,6012533474450,PRDDHS5RUYSPYEYW,11,1863.53,A
PRDEMKDLSXOSZGE3,7891356074660,PRDIM8RTIQ5VWTH6,39,7545.59,A
PRDQ5U7H7SIN677F,7895589451762,PRD2T6AUW50J2E68,29,2249.21,A
PRDJAG1YI1JFPYAC,7898326240131,PRDECKGU4POFDUZ2,61,5026.26,A
PRDU6KVKQFXEXTTJ,7890002200026,PRDZWQ1J70LYP706,11,1459.22,A
PRDIHYHV0L7Z6P3Z,7898412081952,PRDXWZZPGZDPCM9L,3,1549.24,A
PRDP7DL55ZOP65R2,7899459304660,PRD7741ZPFDQZSU9,32,1826.42,A
PRD9JKEJ6ADLU7KI,7896873142472,PRD54DAPISVRIZ4U,6,8431.31,A
PRDPXS3B1CT8FMYF,7896498360176,PRDSC5JHDHGQPQQV,11,1442.24,A
PRDOW5LZE88J0XLP,7899091402847,PRDV2PUMTNS7QND4,5,1195.76,A
PRDHS5NDLVIFA0NJ,2960000403806,PRDKIDUNAERDTTCH,22,940.94,A
PRDWDQ6798OSP7QR,606529194192,PRDYMMX6916KAHAQ,8,1487.09,A
PRDYIVOHFHE39JAC,5214214000007,PRDPWMY8LK0FP5CG,18,2522.41,A
PRD3A6JF0KZ3GYFQ,7896311710874,PRD7UKBBM2J3FRDN,18,1825.8,A
PRDXZIJ2IXMNKXK3,7909463040086,PRDYUA5A8MD88WDV,4,1065.17,A
PRDTUC4QDGKNBGH3,7897372153495,PRDIWKCZ3OIQR98N,8,2476.89,A
PRD9WRVU85L2NBXC,7909389054860,PRD9WRVU85L2NBXC,2,1338.06,A
PRDAZIY3RZPN0C3Y,2960000077229,PRD77A4GXSCSPFW9,10,964.39,A
PRD327PI7HOGSXOC,7896637661546,PRDV87CQCM156Y03,8,1499.28,A
PRD98SI9LW1GVBBE,7894945622129,PRDLSKCLFF48DPZ0,4,1355.91,A
PRDL961NTIYH4BD8,7897375164269,PRDBEV5E3O5LUMBE,71,1156.48,A
PRDEQ0EO4JZFGQTX,7898507470104,PRDVS6EHEMRW1ELM,30,754.6,A
PRDYKFQEPED70B0S,7899806929522,PRDUBP4ETURJXFQX,12,2509.54,A
PRDWTDB1GXKYVM51,7896558411602,PROF65D66883886,4,811.65,A
PRDDR5H0MRS8345S,797153462013,PRDZ9A7K3750UL20,10,820.7,A
PRDNSJZ1PG0NR4MH,7896576401678,PRDKVQWUKZYAGJOU,1,1242.42,A
PRDREY4PB9Z8ZMP1,6951003643197,PRD8XOUY5VNGVNJE,97,14015.66,A
PRDTX84I5D9HSCAV,7899621100984,PRD9CHX0WWWRGEIM,93,7914.47,A
PRDXF6A8EXFNJCIW,7898878146769,PRDXAUTIXDDZSHL0,11,865.58,A
PRDK1N2LFSWNJ161,7010646681979,PRDNUA1YHYK199ZR,12,2966.62,A
PRDKYIMHDQOILBXW,7909389252884,PRDKYIMHDQOILBXW,1,1127.15,A
PRDS8A3PLNX61NEQ,7892509104128,PRDOW8XIVAW4829Q,5,3049.5,A
PRD4B3BTBEG8NU4L,7899495703106,PRD3ASCEU2VB1XKP,245,38830.21,A
PRDSJXDSZ3VO2EYO,7892379021754,PRD32SXFA014S6YQ,14,1082.46,A
PRDT5B7OB9OABW21,2960000221721,PRDZW4J4EWD5NP6O,1,951.77,A
PRDDX0YE6YBXZ1I9,7898623881297,PRDRTO67SKAD3NZY,7,2314.83,A
PRDYND1JMMLMEWHJ,7898664996219,PRDNS44G9FCEHJL2,1,801.46,A
