ds,year,month,dayofweek,day,price_category,offer,olist_price,freight_value,competition_price,stock,black_friday,carnival,christmas,friday,mothers_day,new_year,others,valentines,y
2017-06-30,2017,6,4,30,A,165.90000000000003,165.90000000000003,20.0,165.90000000000003,0.0,0,0,0,0,0,0,0,0,0.0
2017-06-30,2017,6,4,30,B,455.01499999999976,455.01499999999976,24.0,455.01499999999976,0.0,0,0,0,0,0,0,0,0,0.0
2017-06-30,2017,6,4,30,C,931.1842857142856,931.1842857142856,31.0,931.1842857142856,0.0,0,0,0,0,0,0,0,0,0.0
2017-06-30,2017,6,4,30,D,3522.1471428571426,3522.1471428571426,39.0,3522.1471428571426,0.0,0,0,0,0,0,0,0,0,0.0
2017-07-01,2017,7,5,1,A,165.9,165.9,20.0,165.9,30.0,0,0,0,0,0,0,0,0,0.0
2017-07-01,2017,7,5,1,B,455.01499999999976,455.01499999999976,24.0,455.01499999999976,10.0,0,0,0,0,0,0,0,0,0.0
2017-07-01,2017,7,5,1,C,931.1842857142856,931.1842857142856,31.0,931.1842857142856,0.0,0,0,0,0,0,0,0,0,0.0
2017-07-01,2017,7,5,1,D,3522.1471428571426,3522.1471428571426,39.0,3522.1471428571426,0.0,0,0,0,0,0,0,0,0,0.0
2017-07-02,2017,7,6,2,A,165.9,165.9,20.0,165.9,50.0,0,0,0,0,0,0,0,0,0.0
2017-07-02,2017,7,6,2,B,455.015,455.015,24.0,455.015,70.0,0,0,0,0,0,0,0,0,0.0
2017-07-02,2017,7,6,2,C,931.1842857142856,931.1842857142856,31.0,931.1842857142856,0.0,0,0,0,0,0,0,0,0,0.0
2017-07-02,2017,7,6,2,D,3522.1471428571426,3522.1471428571426,39.0,3522.1471428571426,0.0,0,0,0,0,0,0,0,0,0.0
2017-07-03,2017,7,0,3,A,165.9,165.9,20.0,165.9,50.0,0,0,0,0,0,0,0,0,0.0
2017-07-03,2017,7,0,3,B,455.015,455.015,24.0,455.015,70.0,0,0,0,0,0,0,0,0,0.0
2017-07-03,2017,7,0,3,C,931.1842857142856,931.1842857142856,31.0,931.1842857142856,0.0,0,0,0,0,0,0,0,0,0.0
2017-07-03,2017,7,0,3,D,3522.1471428571426,3522.1471428571426,39.0,3522.1471428571426,0.0,0,0,0,0,0,0,0,0,0.0
2017-07-04,2017,7,1,4,A,165.9,165.9,20.0,165.9,50.0,0,0,0,0,0,0,0,0,0.0
2017-07-04,2017,7,1,4,B,455.015,455.015,24.0,455.015,70.0,0,0,0,0,0,0,0,0,0.0
2017-07-04,2017,7,1,4,C,931.1842857142856,931.1842857142856,31.0,931.1842857142856,0.0,0,0,0,0,0,0,0,0,0.0
2017-07-04,2017,7,1,4,D,3522.1471428571426,3522.1471428571426,39.0,3522.1471428571426,0.0,0,0,0,0,0,0,0,0,0.0
2017-07-05,2017,7,2,5,A,153.17,153.17,20.0,153.17,50.0,0,0,0,0,0,0,0,0,0.0
2017-07-05,2017,7,2,5,B,489.99199999999985,489.99199999999985,24.0,489.99199999999985,70.0,0,0,0,0,0,0,0,0,0.0
2017-07-05,2017,7,2,5,C,907.2737499999998,907.2737499999998,31.0,907.2737499999998,0.0,0,0,0,0,0,0,0,0,0.0
2017-07-05,2017,7,2,5,D,3522.1471428571426,3522.1471428571426,39.0,3522.1471428571426,0.0,0,0,0,0,0,0,0,0,0.0
2017-07-06,2017,7,3,6,A,153.17,153.17,20.0,153.17,50.0,0,0,0,0,0,0,0,0,0.0
2017-07-06,2017,7,3,6,B,489.9919999999999,489.9919999999999,24.0,489.9919999999999,70.0,0,0,0,0,0,0,0,0,0.0
2017-07-06,2017,7,3,6,C,907.2737499999998,907.2737499999998,31.0,907.2737499999998,0.0,0,0,0,0,0,0,0,0,0.0
2017-07-06,2017,7,3,6,D,3522.1471428571426,3522.1471428571426,39.0,3522.1471428571426,15.0,0,0,0,0,0,0,0,0,0.0
2017-07-07,2017,7,4,7,A,164.85999999999999,164.85999999999999,20.0,164.85999999999999,55.0,0,0,0,0,0,0,0,0,0.0
2017-07-07,2017,7,4,7,B,489.9919999999999,489.9919999999999,24.0,489.9919999999999,70.0,0,0,0,0,0,0,0,0,0.0
2017-07-07,2017,7,4,7,C,907.2737499999998,907.2737499999998,31.0,907.2737499999998,0.0,0,0,0,0,0,0,0,0,0.0
2017-07-07,2017,7,4,7,D,3522.1471428571426,3522.1471428571426,39.0,3522.1471428571426,15.0,0,0,0,0,0,0,0,0,0.0
2017-07-08,2017,7,5,8,A,164.85999999999999,164.85999999999999,20.0,164.85999999999999,55.0,0,0,0,0,0,0,0,0,0.0
2017-07-08,2017,7,5,8,B,489.9919999999999,489.9919999999999,24.0,489.9919999999999,70.0,0,0,0,0,0,0,0,0,0.0
2017-07-08,2017,7,5,8,C,907.2737499999998,907.2737499999998,31.0,907.2737499999998,0.0,0,0,0,0,0,0,0,0,0.0
2017-07-08,2017,7,5,8,D,3522.1471428571426,3522.1471428571426,39.0,3522.1471428571426,15.0,0,0,0,0,0,0,0,0,0.0
2017-07-09,2017,7,6,9,A,164.85999999999999,164.85999999999999,20.0,164.85999999999999,55.0,0,0,0,0,0,0,0,0,0.0
