ds,year,month,dayofweek,day,price_category,offer,olist_price,freight_value,competition_price,stock,black_friday,carnival,christmas,friday,mothers_day,new_year,others,valentines,y
2017-06-30,2017,6,4,30,A,165.90000000000003,165.90000000000003,20.000482954545454,165.90000000000003,0.0,0,0,0,0,0,0,0,0,0.0
2017-06-30,2017,6,4,30,B,455.01499999999976,455.01499999999976,25.43208333333333,455.01499999999976,0.0,0,0,0,0,0,0,0,0,0.0
2017-06-30,2017,6,4,30,C,931.1842857142857,931.1842857142857,25.73,931.1842857142857,0.0,0,0,0,0,0,0,0,0,0.0
2017-06-30,2017,6,4,30,D,3522.1471428571426,3522.1471428571426,37.81,3522.1471428571426,0.0,0,0,0,0,0,0,0,0,0.0
2017-07-01,2017,7,5,1,A,165.90000000000003,165.90000000000003,20.000482954545454,165.90000000000003,30.0,0,0,0,0,0,0,0,0,0.0
2017-07-01,2017,7,5,1,B,455.0149999999999,455.0149999999999,25.43208333333333,455.0149999999999,10.0,0,0,0,0,0,0,0,0,0.0
2017-07-01,2017,7,5,1,C,931.1842857142857,931.1842857142857,25.73,931.1842857142857,0.0,0,0,0,0,0,0,0,0,0.0
2017-07-01,2017,7,5,1,D,3522.1471428571426,3522.1471428571426,37.81,3522.1471428571426,0.0,0,0,0,0,0,0,0,0,0.0
2017-07-02,2017,7,6,2,A,165.9,165.9,20.000482954545454,165.9,50.0,0,0,0,0,0,0,0,0,0.0
2017-07-02,2017,7,6,2,B,455.01500000000004,455.01500000000004,25.43208333333333,455.01500000000004,70.0,0,0,0,0,0,0,0,0,0.0
2017-07-02,2017,7,6,2,C,931.1842857142857,931.1842857142857,25.73,931.1842857142857,0.0,0,0,0,0,0,0,0,0,0.0
2017-07-02,2017,7,6,2,D,3522.1471428571426,3522.1471428571426,37.81,3522.1471428571426,0.0,0,0,0,0,0,0,0,0,0.0
2017-07-03,2017,7,0,3,A,165.9,165.9,20.000482954545454,165.9,50.0,0,0,0,0,0,0,0,0,0.0
2017-07-03,2017,7,0,3,B,455.01500000000004,455.01500000000004,25.43208333333333,455.01500000000004,70.0,0,0,0,0,0,0,0,0,0.0
2017-07-03,2017,7,0,3,C,931.1842857142857,931.1842857142857,25.73,931.1842857142857,0.0,0,0,0,0,0,0,0,0,0.0
